,cntry,gndr,sclmeet,inprdsc,sclact,health,rlgdgr,dscrgrp,ctzcntr,brncntr
0,BE,2,5,2,2,2,7,1,1,1
1,BE,2,4,4,2,2,4,2,1,2
2,BE,1,4,2,1,2,0,2,2,2
3,BE,1,5,3,2,1,5,2,2,2
4,BE,1,6,4,2,1,1,2,2,2
5,BE,2,6,4,3,2,1,2,1,1
6,BE,2,5,0,1,4,1,2,1,1
7,BE,1,4,3,2,2,6,2,1,1
8,BE,1,6,4,4,2,1,2,1,1
9,BE,1,2,2,1,3,9,2,1,1
10,BE,1,5,1,3,2,8,1,1,1
11,BE,1,4,3,2,2,0,2,1,1
12,BE,2,7,5,3,2,6,2,1,1
13,BE,1,6,4,2,2,5,2,1,1
14,BE,1,6,4,3,1,9,2,1,1
15,BE,1,6,3,4,1,7,1,1,1
16,BE,1,4,6,5,2,5,2,1,2
17,BE,1,6,4,3,2,7,1,1,1
18,BE,2,7,3,2,1,0,2,1,1
19,BE,1,7,4,3,1,6,2,1,1
20,BE,1,7,4,3,2,0,2,1,1
21,BE,1,2,1,1,2,10,2,2,2
22,BE,2,6,4,3,4,0,2,1,1
23,BE,1,6,5,3,2,6,2,1,1
24,BE,2,4,3,3,2,8,2,1,1
25,BE,2,4,3,4,2,8,2,2,2
26,BE,2,3,2,2,3,7,2,2,2
27,BE,2,6,2,1,2,0,2,1,1
28,BE,2,7,4,3,2,1,2,1,2
29,BE,1,6,3,4,1,9,2,1,1
30,BE,1,7,1,3,2,3,2,1,1
31,BE,1,5,5,1,3,0,2,1,1
32,BE,2,6,4,3,1,6,2,1,1
33,BE,1,4,3,3,2,0,2,1,1
34,BE,2,5,4,2,2,10,2,2,2
35,BE,2,7,4,2,2,2,2,1,1
36,BE,1,5,3,4,1,7,2,1,1
37,BE,2,5,4,2,3,8,2,2,2
38,BE,2,5,3,3,2,0,2,1,1
39,BE,1,5,6,2,3,7,2,1,1
40,BE,2,7,6,4,2,5,2,1,1
41,BE,2,3,2,2,4,10,2,1,1
42,BE,1,4,4,3,2,5,2,1,2
43,BE,1,2,1,1,1,0,2,1,1
44,BE,1,6,2,2,1,2,2,1,1
45,BE,2,4,0,1,4,5,2,1,1
46,BE,1,7,5,3,1,3,2,1,1
47,BE,1,3,4,2,3,5,2,1,1
48,BE,1,6,4,2,1,8,2,2,2
49,BE,1,5,2,2,2,3,2,1,1
50,BE,1,4,4,4,2,7,2,1,1
51,BE,1,5,3,2,2,10,2,1,2
52,BE,2,5,4,2,4,2,2,1,1
53,BE,1,6,4,4,2,0,1,1,1
54,BE,1,5,4,2,2,0,2,1,1
55,BE,1,6,4,3,1,8,2,1,1
56,BE,1,3,3,2,2,0,2,1,1
57,BE,1,4,4,2,3,6,2,1,1
58,BE,2,5,4,2,2,1,2,1,1
59,BE,2,7,5,4,2,0,1,1,1
60,BE,1,4,5,3,1,8,2,2,2
61,BE,2,6,2,2,3,5,2,1,1
62,BE,1,6,6,4,2,0,2,2,2
63,BE,2,6,5,3,2,2,2,1,1
64,BE,1,6,3,2,2,2,2,1,1
65,BE,2,5,0,8,1,0,2,1,1
66,BE,1,7,1,5,1,0,2,1,1
67,BE,1,6,5,3,1,1,2,1,1
68,BE,1,4,4,1,1,3,2,1,1
69,BE,1,6,4,4,1,7,2,2,2
70,BE,2,5,1,1,2,7,2,1,2
71,BE,2,3,3,4,2,5,2,1,1
72,BE,2,6,6,4,1,4,2,1,1
73,BE,1,3,3,3,2,1,2,2,2
74,BE,1,5,3,3,2,4,2,1,1
75,BE,2,5,1,5,2,5,2,1,1
76,BE,1,6,4,3,1,0,2,2,2
77,BE,1,5,6,3,1,1,2,1,1
78,BE,2,6,3,2,1,2,2,1,1
79,BE,2,6,3,1,2,5,2,1,1
80,BE,1,6,3,4,3,3,2,1,1
81,BE,1,6,4,4,2,7,2,1,1
82,BE,1,6,4,3,1,3,2,1,1
83,BE,2,4,3,3,2,1,2,1,1
84,BE,1,7,4,1,1,7,2,1,1
85,BE,2,4,2,3,3,8,2,1,1
86,BE,1,6,4,4,1,3,2,1,1
87,BE,1,4,1,1,2,0,2,1,1
88,BE,1,6,3,2,3,0,2,1,1
89,BE,1,6,3,3,1,5,2,1,1
90,BE,2,6,3,4,2,0,2,1,1
91,BE,1,4,3,2,2,5,2,1,1
92,BE,1,6,3,2,2,1,2,1,1
93,BE,2,4,4,2,3,0,2,1,1
94,BE,2,7,4,3,4,7,2,2,2
95,BE,2,5,3,2,2,0,2,1,1
96,BE,2,5,3,2,2,7,2,1,1
97,BE,2,6,5,4,2,10,2,1,1
98,BE,1,4,2,2,1,8,2,1,1
99,BE,2,4,3,1,3,0,2,1,2
100,BE,2,7,4,1,3,10,2,1,1
101,BE,1,4,2,3,3,6,2,1,1
102,BE,1,7,6,5,2,0,2,1,1
103,BE,1,4,2,3,2,5,2,1,2
104,BE,1,4,2,2,2,0,2,1,1
105,BE,2,7,6,4,4,6,2,1,1
106,BE,1,6,4,3,2,2,2,1,1
107,BE,1,5,1,2,1,10,2,1,2
108,BE,1,5,1,2,3,0,2,1,1
109,BE,1,6,4,2,2,5,2,1,2
110,BE,2,6,0,4,3,1,2,1,1
111,BE,1,6,3,2,2,8,2,1,1
112,BE,2,4,4,2,2,5,2,1,1
113,BE,1,5,3,2,2,6,2,1,1
114,BE,2,4,2,1,4,3,1,1,1
115,BE,2,6,3,4,1,10,1,2,2
116,BE,1,4,2,2,2,5,2,1,2
117,BE,1,5,4,2,2,9,2,1,1
118,BE,2,6,3,4,1,0,2,1,1
119,BE,2,6,2,2,2,5,2,1,1
120,BE,1,4,0,3,2,6,2,1,1
121,BE,1,6,4,3,4,0,2,1,1
122,BE,2,7,4,2,2,1,2,1,1
123,BE,2,6,2,3,3,6,2,1,1
124,BE,2,7,4,4,1,6,2,1,1
125,BE,1,4,3,2,2,2,2,1,1
126,BE,1,5,88,3,2,7,2,1,1
127,BE,2,3,3,2,2,0,1,1,1
128,BE,2,7,4,2,3,7,2,1,1
129,BE,1,4,5,3,2,1,2,1,1
130,BE,2,2,1,2,2,0,2,1,1
131,BE,1,3,1,2,2,0,2,1,1
132,BE,2,6,5,4,2,3,2,1,1
133,BE,1,7,5,3,1,2,2,1,1
134,BE,1,6,6,3,2,4,2,1,1
135,BE,1,6,3,1,4,0,2,1,1
136,BE,1,6,4,2,2,0,2,1,1
137,BE,1,7,4,4,4,6,2,1,1
138,BE,1,4,3,1,2,0,2,1,1
139,BE,2,5,4,4,3,6,2,1,1
140,BE,1,5,4,3,2,6,2,1,1
141,BE,2,6,3,3,4,3,2,1,1
142,BE,1,4,2,2,2,7,2,1,2
143,BE,1,4,6,5,1,0,1,1,2
144,BE,2,2,0,5,1,0,2,1,2
145,BE,2,7,3,5,2,8,2,1,1
146,BE,2,4,3,3,1,0,2,1,1
147,BE,1,7,5,4,3,10,2,1,1
148,BE,1,6,4,3,1,8,2,1,1
149,BE,2,7,3,4,2,0,2,1,1
150,BE,2,4,3,2,2,0,2,1,1
151,BE,2,5,3,2,2,8,2,2,2
152,BE,2,5,3,3,2,4,2,1,1
153,BE,1,4,2,2,2,5,2,1,1
154,BE,1,4,1,1,5,7,2,1,1
155,BE,1,5,0,2,3,0,2,2,2
156,BE,1,6,4,2,4,8,2,1,1
157,BE,2,5,2,2,3,5,2,1,1
158,BE,1,6,3,2,2,9,2,1,2
159,BE,2,3,3,2,3,7,2,1,1
160,BE,1,6,2,5,2,0,2,1,1
161,BE,2,3,3,4,1,0,2,1,1
162,BE,1,3,3,1,1,4,1,1,1
163,BE,1,6,5,4,1,4,2,1,1
164,BE,1,6,2,1,4,1,2,1,1
165,BE,2,6,4,2,2,5,2,1,1
166,BE,1,6,4,4,2,0,2,1,1
167,BE,1,5,2,3,2,6,2,1,1
168,BE,1,3,4,2,2,8,2,2,2
169,BE,1,6,3,4,3,0,2,1,1
170,BE,1,6,3,1,2,6,2,1,2
171,BE,2,6,3,4,3,1,2,1,1
172,BE,2,6,3,2,3,7,2,1,1
173,BE,2,6,5,4,2,0,2,1,1
174,BE,1,5,2,2,2,7,2,1,1
175,BE,1,6,3,3,1,0,2,1,1
176,BE,2,7,3,4,2,6,2,1,1
177,BE,1,1,2,2,3,0,2,1,1
178,BE,1,6,1,5,1,0,2,1,1
179,BE,1,5,1,3,4,10,1,1,2
180,BE,1,5,3,3,2,1,2,1,1
181,BE,1,4,4,3,2,3,1,1,1
182,BE,2,6,4,5,1,1,2,1,1
183,BE,2,6,6,2,3,0,2,1,1
184,BE,2,4,4,2,4,6,2,2,2
185,BE,2,6,4,3,2,6,2,1,1
186,BE,1,6,4,3,2,9,1,2,2
187,BE,2,7,4,4,1,4,2,1,1
188,BE,1,4,3,3,2,0,1,1,1
189,BE,2,4,4,3,2,0,2,1,1
190,BE,2,7,3,3,1,8,2,1,1
191,BE,2,4,2,3,1,5,2,1,1
192,BE,1,5,1,4,3,4,2,1,1
193,BE,1,4,4,2,2,8,2,1,2
194,BE,1,4,2,2,2,0,2,1,1
195,BE,2,5,2,4,1,6,2,1,1
196,BE,1,6,4,3,2,0,2,2,2
197,BE,1,3,6,2,3,0,1,1,1
198,BE,1,6,3,2,3,0,2,1,1
199,BE,2,6,3,4,3,7,2,1,1
200,BE,2,7,3,3,2,0,2,1,1
201,BE,1,4,4,2,2,2,2,1,1
202,BE,1,6,4,3,2,0,2,1,1
203,BE,2,7,5,4,1,8,2,1,1
204,BE,1,6,2,2,1,8,1,1,1
205,BE,2,6,3,2,2,0,2,1,1
206,BE,2,6,5,4,1,4,2,1,1
207,BE,2,3,6,4,2,10,1,2,2
208,BE,1,3,4,2,3,7,2,1,1
209,BE,1,4,77,8,4,8,2,1,1
210,BE,2,6,4,3,1,1,2,1,1
